Linux 6.17.0-20-generic (ubuntu) 	21.04.2026 	_x86_64_	(4 CPU)

09:09:49          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
09:12:49          sda      0,20      0,00      3,60      0,00     18,00      0,00      7,00      0,14
09:12:49         sda1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:49         sda2      0,20      0,00      3,60      0,00     18,00      0,00      7,00      0,14
09:12:49        loop8      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:49        loop9      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:59        loop0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:59        loop1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:59        loop2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:59        loop3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:59        loop4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:59        loop5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:59        loop6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:59        loop7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:59          sda      0,20      0,00      1,60      0,00      8,00      0,00      8,00      0,16
09:12:59         sda1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:59         sda2      0,20      0,00      1,60      0,00      8,00      0,00      8,00      0,16
09:12:59        loop8      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:12:59        loop9      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:09        loop0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:09        loop1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:09        loop2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:09        loop3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:09        loop4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:09        loop5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:09        loop6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:09        loop7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:09          sda      0,50      0,00     11,20      0,00     22,40      0,00      2,20      0,10
09:13:09         sda1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:09         sda2      0,50      0,00     11,20      0,00     22,40      0,00      2,20      0,10
09:13:09        loop8      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:09        loop9      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:19        loop0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:19        loop1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:19        loop2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:19        loop3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:19        loop4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:19        loop5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:19        loop6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:19        loop7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:19          sda      0,90      0,00      6,80      0,00      7,56      0,01      4,22      0,32
09:13:19         sda1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:19         sda2      0,90      0,00      6,80      0,00      7,56      0,00      4,22      0,32
09:13:19        loop8      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:19        loop9      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:29        loop0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:29        loop1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:29        loop2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:29        loop3      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:29        loop4      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:29        loop5      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:29        loop6      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:29        loop7      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:29          sda      0,20      0,00      1,60      0,00      8,00      0,00      5,00      0,10
09:13:29         sda1      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
09:13:29         sda2      0,20      0,00      1,60      0,00      8,00      0,00      5,00      0,10
