Linux 6.17.0-20-generic (ubuntu) 	21.04.2026 	_x86_64_	(4 CPU)

09:09:49      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
09:40:19            0       630      0,00      0,00      0,00         0
09:40:29            0       630      0,00      0,00      0,00         0
09:40:39            0       630      0,00      0,00      0,00         0
09:40:49            0       629      0,00      0,00      0,00         0
09:40:59            0       629      0,00      0,00      0,00         0
09:41:09            0       629      0,00      0,00      0,00         0
09:41:19            0       629      0,00      0,00      0,00         0
09:41:29            0       629      0,00      0,00      0,00         0
09:41:39            0       629      0,00      0,00      0,00         0
09:41:49            1       629      0,08      0,02      0,01         0
09:41:59            1       629      0,07      0,02      0,00         0
09:42:09            0       629      0,06      0,01      0,00         0
09:42:19            0       629      0,05      0,01      0,00         0
09:42:29            0       629      0,04      0,01      0,00         0
09:42:39            0       629      0,03      0,01      0,00         0
09:42:49            1       629      0,03      0,01      0,00         0
09:42:59            0       628      0,02      0,01      0,00         0
09:43:09            0       628      0,02      0,01      0,00         0
09:43:19            0       628      0,10      0,02      0,01         0
09:43:29            0       628      0,08      0,02      0,00         0
09:43:39            0       628      0,07      0,02      0,00         0
09:43:49            0       628      0,06      0,02      0,00         0
09:43:59            0       628      0,05      0,02      0,00         0
09:44:09            0       628      0,04      0,02      0,00         0
09:44:19            0       628      0,03      0,02      0,00         0
09:44:29            0       628      0,03      0,02      0,00         0
09:44:39            0       628      0,02      0,02      0,00         0
09:44:49            0       629      0,02      0,02      0,00         0
09:44:59            0       628      0,02      0,02      0,00         0
09:45:09            0       627      0,01      0,01      0,00         0
09:45:19            1       628      0,01      0,01      0,00         0
09:45:29            0       628      0,01      0,01      0,00         0
09:45:39            0       628      0,01      0,01      0,00         0
09:45:49            1       628      0,00      0,01      0,00         0
09:45:59            1       628      0,00      0,01      0,00         0
09:46:09            0       628      0,00      0,01      0,00         0
09:46:19            0       628      0,00      0,01      0,00         0
09:46:29            0       628      0,00      0,01      0,00         0
09:46:39            0       628      0,00      0,01      0,00         0
09:46:49            0       628      0,00      0,00      0,00         0
09:46:59            0       628      0,00      0,00      0,00         0
09:47:09            0       628      0,00      0,00      0,00         0
09:47:19            1       628      0,00      0,00      0,00         0
09:47:29            0       628      0,00      0,00      0,00         0
09:47:39            0       628      0,00      0,00      0,00         0
09:47:49            1       628      0,00      0,00      0,00         0
09:47:59            1       628      0,00      0,00      0,00         0
09:48:09            0       628      0,00      0,00      0,00         0
09:48:19            0       628      0,00      0,00      0,00         0
09:48:29            1       628      0,00      0,00      0,00         0
09:48:39            0       628      0,00      0,00      0,00         0
09:48:49            1       628      0,00      0,00      0,00         0
09:48:59            0       628      0,00      0,00      0,00         0
09:49:09            0       628      0,00      0,00      0,00         0
09:49:19            0       628      0,00      0,00      0,00         0
09:49:29            0       628      0,00      0,00      0,00         0
09:49:39            1       627      0,00      0,00      0,00         0
09:49:49            0       627      0,00      0,00      0,00         0
Average:            0       629      0,01      0,01      0,00         0
